,account_name,username,post_date,tweet,emojis,reply_count,retweet_count,like_count
0,hy friends | kinda ia bcs sibok ya miskah,@cupidnyamrkhyck,2021-12-03T12:03:58.000Z,"aneh kan? bukannya pelaku kekerasan seksual yg dicoret namanya dari kampus, malah korbannya yg dicoret namanya dr daftar yudisium. sakit emang 
2
1",,2,0,1
1,eri𝒜ul,@eriaul,2021-12-03T11:58:39.000Z,"Replying to 
@urijonginini
emg banyak ka ga cuma di unsri si sebetulnya, cmn buat kasus unsri aku jg gatau valid apa ngga nya cuma pelecehan seksual di lingkungan kampus sering terjadi si ka...
1",,1,0,0
2,Avogadro,@galaktosaaa,2021-12-03T11:45:08.000Z,"ditengah banyaknya kasus pelecehan seksual tak dterlepas PTN dikota saya.
bersyukur banget masuk di kampus dan prodi yang isinya orang orang terintegritas walau aga killer.
1",,1,0,0
3,KPM Unpad,@kpmunpad,2021-12-03T11:34:05.000Z,"8. Webinar Series 6 Pembinaan Mental Kebangsaan: Mari Kita Cegah Tindakan Kekerasan Seksual dan Perundungan (Bullying) di Lingkungan Kampus
9. Apresiasi kepada Relawan Tanggap Covid-19 di Lingkungan Universitas Padjadjaran
1",,1,0,0
4,tiara.,@yaelahbraaay,2021-12-03T11:17:10.000Z,"liat berita kampus w dongkol sendiri, emang dari dulu ye internalnya hadeuuhhh. ga becus amat nyelesain masalah pelecehan seksual. korbannya makin dibuat susah ckck, ga heran lg klo bakal turun akreditasi. untung wa dah lulus 
1",,1,0,0
5,Ara.,@aradamii_,2021-12-03T11:06:49.000Z,"Disatu sisi sad kalo turun karna jurusanku akrenya emg udh B, kalo kampusnya B juga ya gmn gtu. Tapi disisi lain kalo gada hukuman yang gede buat kampus yang malah melindungi pelaku pelecehan seksual, kejadian kek gini bakal terus terulang
vi I Netflix 25k/bulan
@iceycious
 · 2h
Replying to @tubirfess
kampus yang kek gini ga bisa ya diturunin akreditasinya? kasian loo korbannya
1",,1,0,0
6,Eki Saputra,@ekis_official,2021-12-03T11:01:03.000Z,"Replying to 
@ekis_official
 @Rinaranirini
 and 
@AREAJULID
Sebagai alumni, saya sangat setuju Unsri menindak tegas pelaku kasus pelecehan seksual. Kampus wajib memberikan ruang aman bagi mahasiswanya.
1",,0,0,1
7,Anaknya Mama,@aailors,2021-12-03T10:58:35.000Z,"Replying to 
@tubirfess
Kampus yg ngk mau kooperatif apalagi menyangkut kasus pelecehan seksual apa ngk malu entar dicap sebagai pelindung pelaku kejahatan seksual? Harusnya bantu korban mendapatkan keadilan bkn malah mempersulit korban. Lagian ya oncom, skripsi dibuat penuh perjuangan. Main coret bae.
16",,0,0,16
8,gjls,@risna_sagita,2021-12-03T10:38:21.000Z,"Replying to 
@AREAJULID
Speak up bukan hal yg gampang ya, apalagi masalahnya sangat sensitif dan mengarah ke hal seksual. Oknum kampus yang dirasa bisa melindungi dan memberi keadilan harusnya tidak memeras mental korban.",,0,0,0
9,.,@yfzhrxa_,2021-12-03T09:52:04.000Z,"mirissss bgttt jaman sekarangg, korban pelecehan seksual yg udh speak up malah dicoret dari daftar yudisium. bener2 kampus maunya dinilai paling baik",,0,0,0
10,#JusticeForAudrey,@kusogakidomoo,2021-12-03T08:35:08.000Z,"Replying to 
@artisan_killer
 @zelseee
 and 2 others
mereka pejabat universitas, ada tindak pelecehan di universitas. korban melapor, tapi malah yudisium korban dibatalkan. kalo mereka diam aja melihat korban dibatalkan yudisium nya, itu sama aja mereka mendukung tindakan pelecehan seksual di lingkungan kampus.
2
10",,2,0,10
11,Ahmad Purwoto,@AhmadPurwoto,2021-12-03T08:07:32.000Z,"Replying to 
@jichuvirgo
 @steakwithgarlic
 and 
@AREAJULID
macem gak tau aja, jarang2 ada kampus apalagi negeri yg memecat predator seksual. Dipecat aja enggak apalagi dilaporin ke polisi
1
3",,0,1,3
12,mahasiswa ababil,@mahasiswababill,2021-12-03T07:54:46.000Z,"Replying to 
@angelynataly
 @sindipsyueb
 and 2 others
Ya usut huga itu org2 dalam yg ngelindungin. Pengusutnya make pihak luar yg independen misal kek sejenis kpk untuk kekerasan seksual? Intinya fakultas/kampus/orang2 lain yg gaada sangkut pautnya ga kena dampaknya.
1",,1,0,0
13,Matcha,@Moccacio__,2021-12-03T07:21:07.000Z,"Baru tau ada kasus pelecehan seksual lagi di kampus. Dan yaaaaa, ternyata predator sebanyak itu dan sesinting itu",,0,0,0
14,Candy TaeTae,@LoconT4e,2021-12-03T07:00:23.000Z,"Replying to 
@Serendipityflt_
 @vousvoici
 and 2 others
Nih kampus udh terang2gan berpihak ke para babi mesum, jd Kemendikbud mending buru2 sikat bersih aja itu kampus drpd makin byk mahasiswa/wi yg jadi korban pelecehan seksual",,0,0,0
15,samancha,@jeankirsteam,2021-12-03T06:58:46.000Z,"TW // SEXUAL HARASSMENT

Bayangin deh udah korban pelecehan seksual, dipersulit juga kuliahnya sama kampus.. gue ratain juga nih dunia",,0,0,0
16,UNSR! ,@unsrifess,2021-12-03T06:07:52.000Z,"SERUAN AKSI KAWAL YUDISIUM KORBAN PELECEHAN SEKSUAL

LUCU SEKALI KAMPUS INI.  unsr!
The following media includes potentially sensitive content. Change settings
View
19
73",,0,19,73
17,Gerakan Perempuan UNJ,@Gerpuan_unj,2021-12-03T06:00:09.000Z,"Ayo dorong percepatan pembentukan Satgas!
Wujudkan kampus aman dan bebas kekerasan seksual!",,0,0,0
