,account_name,username,post_date,tweet
0,hy friends | kinda ia bcs sibok ya miskah,@cupidnyamrkhyck,2021-12-03T12:03:58.000Z,aneh kan bukan laku keras seksual yang coret nama dari kampus malah korban yang coret nama dari daftar yudisium sakit memang
1,eri𝒜ul,@eriaul,2021-12-03T11:58:39.000Z,memang banyak kakak tidak cuma di unsri sih benar cuma buat kasus unsri aku juga tak tau valid apa tidak nya cuma leceh seksual di lingkung kampus sering jadi sih
2,Avogadro,@galaktosaaa,2021-12-03T11:45:08.000Z,tengah banyak kasus leceh seksual tak dterlepas ptn kota saya syukur banget masuk di kampus dan program studi yang isi orang orang integritas walau aga killer
3,KPM Unpad,@kpmunpad,2021-12-03T11:34:05.000Z,webinar series bina mental bangsa mari kita cegah tindak keras seksual dan rundung bullying di lingkung kampus apresiasi kepada rawan tanggap covid di lingkung universitas padjadjaran
4,tiara.,@yaelahbraaay,2021-12-03T11:17:10.000Z,lihat berita kampus gue dongkol sendiri memang dari dulu iya internal hadeuuhhh tidak becus amat selesai masalah leceh seksual korban makin buat susah wkwk tidak heran lagi kalau bakal turun akreditasi untung wa sudah lulus
5,Ara.,@aradamii_,2021-12-03T11:06:49.000Z,satu sisi sad kalau turun karena jurus akrenya memang sudah b kalau kampus b juga ya bagaimana begitu tapi di sisi lain kalau tidak ada hukum yang gede buat kampus yang malah lindung laku leceh seksual jadi kayak begini bakal terus ulang vi i netflix kbulan h kampus yang kayak begini tidak bisa ya diturunin akreditasi kasihan lo korban
6,Eki Saputra,@ekis_official,2021-12-03T11:01:03.000Z,and bagai alumni saya sangat tuju unsri tindak tegas laku kasus leceh seksual kampus wajib beri ruang aman bagi mahasiswa
7,Anaknya Mama,@aailors,2021-12-03T10:58:35.000Z,kampus yang tidak mau kooperatif apalagi sangkut kasus leceh seksual apa tidak malu nanti cap bagai lindung laku jahat seksual harus bantu korban dapat adil bukan malah sulit korban lagi ya oncom skripsi buat penuh juang main coret baik
8,gjls,@risna_sagita,2021-12-03T10:38:21.000Z,speak up bukan hal yang gampang ya apalagi masalah sangat sensitif dan arah ke hal seksual oknum kampus yang rasa bisa lindung dan beri adil harus tidak peras mental korban
9,.,@yfzhrxa_,2021-12-03T09:52:04.000Z,mirissss banget jaman sekarangg korban leceh seksual yang sudah speak up malah coret dari daftar yudisium benar kampus mau nilai paling baik
10,#JusticeForAudrey,@kusogakidomoo,2021-12-03T08:35:08.000Z,and others mereka jabat universitas ada tindak leceh di universitas korban lapor tapi malah yudisium korban batal kalau mereka diam saja lihat korban batal yudisium nya itu sama saja mereka dukung tindak leceh seksual di lingkung kampus
11,Ahmad Purwoto,@AhmadPurwoto,2021-12-03T08:07:32.000Z,and macam tidak tau saja jarang ada kampus apalagi negeri yang pecat predator seksual pecat saja tidak apalagi lapor ke polisi
12,mahasiswa ababil,@mahasiswababill,2021-12-03T07:54:46.000Z,and others ya usut huga itu orang dalam yang ngelindungin usut make pihak luar yang bebas misal kayak jenis komisi berantas korupsi untuk keras seksual inti fakultaskampusorang lain yang tidak ada sangkut paut tidak kena dampak
13,Matcha,@Moccacio__,2021-12-03T07:21:07.000Z,baru tau ada kasus leceh seksual lagi di kampus dan yaaaaa nyata predator banyak itu dan sinting itu
